wos_org,std_name,city,state,id
GlaxoSmithKline,,Res Triangle Pk,NC,
Gonzaga University,,Spokane,WA,
Good Samaritan Hospital - Cincinnati,,Cincinnati,OH,
Goodbaby International,,RONKONKOMA,NY,
Goodyear Tire & Rubber Company,,Akron,OH,
Google Incorporated,,Mountain View,CA,
Gordon Life Science Institute,,Belmont,MA,
Gordon State College,,Barnesville,GA,
Grambling State University,,Grambling,LA,
Grand Valley State University,,Grand Rapids,MI,
Great Basin College,,Elko,NV,
Great Falls College,,GREAT FALLS,MT,
Greater Baltimore Medical Center,,Baltimore,MD,
Greenville Health System,,Greenville,SC,
Greenwood Genetic Center,,Greenwood,SC,
Group Health Cooperative,,Seattle,WA,
Gundersen Lutheran Medical Center,,La Crosse,WI,
Gustavus Adolphus College,,St Peter,MN,
H Lee Moffitt Cancer Center & Research Institute,Lee Moffitt,Tampa,FL,99008
HRL Laboratories,,Malibu,CA,
Hackensack University Medical Center,Hackensack University,Hackensack,NJ,20120293
Halozyme,,San Diego,CA,
Hamilton College,,Clinton,NY,
Hampton University,,Hampton,VA,
Hanergy,,Tucson,AZ,
Hanford Site,,HANFORD,WA,
Harborview Medical Center,,Seattle,WA,
Harry S. Truman Memorial Veterans' Hospital,,Columbia,MO,
Hartford Hospital,,Hartford,CT,
Harvard Medical School,Harvard University,Boston,MA,95070
Harvard Pilgrim Health Care,,Boston,MA,
Harvard School of Dental Medicine,Harvard University,Boston,MA,95070
Harvard T.H. Chan School of Public Health,Harvard University,Boston,MA,95070
Harvard University,Harvard University,Cambridge,MA,95070
Harvard University Hospital,Harvard University,Cambridge,MA,95070
Harvard Vanguard Medical Associates,,Boston,MA,
Harvey Mudd College,,Claremont,CA,
Hasbro Children's Hospital,,Providence,RI,
Haskins Laboratories,,New Haven,CT,
Hauptman Woodward Medical Research Institute,,Buffalo,NY,
Haverford College,,Haverford,PA,
Health Effects Institute (HEI),,Charlestown,MA,
Health Research Inc,Health Research Inc,Albany,NY,95071
"HealthCore, Inc",,Watertown,MA,
HealthPartners Institute for Education & Research,,Minneapolis,MN,
Hebrew SeniorLife,,Boston,MA,
Heidelberg University USA,,Tiffin,OH,
Helen F. Graham Cancer Center & Research Institute,,Newark,DE,
Hennepin County Medical Center,,Minneapolis,MN,
Henry Ford Hospital,,Detroit,MI,
Hewlett-Packard,,Corvallis,OR,
Hillsdale College,,Hillsdale,MI,
Hiram College,,Hiram,OH,
Hisense,,Camas,WA,
Hocking College,,Nelsonville,OH,
Hofstra University,,Hempstead,NY,
Hope College,,Holland,MI,
Hospital Corporation of America,,Nashville,TN,
Hospital Saint Raphael,,New Haven,CT,
Hospital for Joint Disease NYULMC,,New York,NY,
House Research Institute,,Los Angeles,CA,
Howard Hughes Medical Institute,,Philadelphia,PA,
Howard University,,Washington,DC,
HudsonAlpha Institute for Biotechnology,,Huntsville,AL,
Hughes Aircraft Company,,NEWPORT BEACH,CA,
Human Genome Sciences Inc,,Rockville,MD,
Humboldt State University,,Arcata,CA,
Hunter College (CUNY),CUNY,New York,NY,95077
Hunter Holmes McGuire Veterinary Affairs Medical Center,,Richmond,VA,
Huntington Medical Research Institutes,,Pasadena,CA,
Huntington Memorial Hospital,,Pasadena,CA,
Huntsman Cancer Institute,,Salt Lake City,UT,
IQVIA,,Falls Church,VA,
IU Kelley School of Business,Indiana University,Bloomington,IN,95082
Icahn School of Medicine at Mount Sinai,Mount Sinai,New York,NY,95050
Idaho National Laboratory,,Idaho Falls,ID,
Idaho State University,Idaho State University,Pocatello,ID,20100287
Illinois Institute of Technology,Illinois Institute of Technology,Chicago,IL,95080
Illinois Natural History Survey,,Kinmundy,IL,
Illinois State University,Illinois State University,Normal,IL,95081
Illinois State Water Survey,,Champaign,IL,
Illinois Wesleyan University,,Bloomington,IL,
Illumina,,San Diego,CA,
Immune Tolerance Network,,Bethesda,MD,
Incyte,,Wilmington,DE,
Indiana Hemophilia & Thrombosis Center,,Indianapolis,IN,
Indiana State University,,Terre Haute,IN,
Indiana University - Purdue University Columbus,Purdue University,Columbus,IN,95139
Indiana University Bloomington,Indiana University,Bloomington,IN,95082
Indiana University East,Indiana University,Richmond,IN,95082
Indiana University Kokomo,Indiana University,Kokomo,IN,95082
Indiana University Northwest,Indiana University,Indianapolis,IN,95082
Indiana University Purdue University Fort Wayne,Purdue University,Ft Wayne,IN,95139
Indiana University South Bend,Indiana University,South Bend,IN,95082
Indiana University Southeast,Indiana University,New Albany,IN,95082
Indiana University System,Indiana University,Bloomington,IN,95082
Indiana University of Pennsylvania,,Indiana,PA,
Indiana University-Purdue University Indianapolis,Purdue University,Indianapolis,IN,95139
Inova Fairfax Hospital,,Richmond,VA,
Inova Health System,,Falls Church,VA,
Institute for Advanced Study - USA,,Princeton,NJ,
Institute for Basic Research in Developmental Disabilities,,Staten Isl,NY,
Institute for Bioscience & Biotechnology Research,,College Pk,MD,
Institute for Health Metrics & Evaluation,,Seattle,WA,
Institute for Healthcare Improvement,,Cambridge,MA,
Institute for Systems Biology (ISB),,Seattle,WA,
Institute for Transfusion Medicine,,Pittsburgh,PA,
Institute of Marine & Environmental Technology,,Baltimore,MD,
Intel Corporation,,Portland,OR,
Intellectual Ventures,,Bellevue,WA,
Inter American University of Puerto Rico-San German,,Bayamon,PR,
InterDigital,,Melville,NY,
Intercept Pharmaceuticals,,New York,NY,
Intermountain Healthcare,,Salt Lake City,UT,
Intermountain Medical Center,,Ogden,UT,
International Business Machines (IBM),,Res Triangle Pk,NC,
International Diabetes Center,,Minneapolis,MN,
International Food Policy Research Institute (IFPRI),,Washington,DC,
International Genomics Consortium,,Bethesda,MD,
International Heart Institute of Montana Foundation,,Missoula,MT,
International Monetary Fund,,Washington,DC,
Iona College,,New Rochelle,NY,
Iowa City VA Health Care System,,Iowa City,IA,
Iowa Methodist Medical Center,,Des Moines,IA,
Iowa State University,Iowa State University,Ames,IA,95084
Isis Pharmaceuticals Inc,,Carlsbad,CA,
J. Craig Venter Institute,,Rockville,MD,
JAEB Center For Health Research,,Tampa,FL,
JMI Laboratories,,N Liberty,IA,
JP Morgan Chase & Company,,New York,NY,
Jackson Laboratory,Jackson Laboratory,Bar Harbor,ME,20100270
Jackson State University,,Jackson,MS,
Jacksonville State University,,Jacksonville,AL,
Jacobi Medical Center,,Bronx,NY,
James A. Haley Veterans Hospital,,Tampa,FL,
James Cancer Hospital & Solove Research Institute,,Columbus,OH,
James J. Peters VA Medical Center,,Bronx,NY,
James Madison University,James Madison University,Harrisonburg,VA,20160322
James Whitcomb Riley Hospital Children,,Indianapolis,IN,
Janssen Biotech Inc,,Malvern,PA,
Jefferson National Accelerator,,Newport News,VA,
Jefferson University,,Philadelphia,PA,
Jersey Shore University Medical Center,,Neptune,NJ,
Jesse Brown VA Medical Center,,Chicago,IL,
Jhpiego,,Baltimore,MD,
John Carroll University,,Cleveland,OH,
John H Stroger Junior Hospital Cook County,,Chicago,IL,
John Jay College of Criminal Justice (CUNY),CUNY,New York,NY,95077
John Wayne Cancer Institute,John Wayne,Santa Monica,CA,95087
Johns Hopkins Bloomberg School of Public Health,Johns Hopkins University,Baltimore,MD,95088
Johns Hopkins Medicine,Johns Hopkins University,Baltimore,MD,95088
Johns Hopkins University,Johns Hopkins University,Baltimore,MD,95088
Johns Hopkins University Applied Physics Laboratory,Johns Hopkins University Applied Physics,Laurel,MD,20080265
Johnson & Johnson,,Radnor,PA,
Johnson & Johnson USA,,Radnor,PA,
Johnson Controls Incorporated,,Milwaukee,WI,
Joint BioEnergy Institute - JBEI,,Walnut Creek,CA,
Joint Genome Institute - JGI,,Walnut Creek,CA,
"Joslin Diabetes Center, Inc.",,Boston,MA,
Judge Baker's Children's Center,,Boston,MA,
Juniper Networks,,Sunnyvale,CA,
Kaiser Permanente,,Portland,OR,
Kalamazoo College,,Kalamazoo,MI,
Kaleida Health,,Buffalo,NY,
Kansas City University of Medicine & Biosciences,,Kansas City,MO,
Kansas State University,Kansas State University,Manhattan,KS,95089
Keane Federal Systems Inc,,Chicago,IL,
Keck Graduate Institute,Keck Graduate,Claremont,CA,20000011
Keck Graduate Institute School of Pharmacy,Keck Graduate,Claremont,CA,20000011
Keck Graduate Institute of Applied Life Sciences,Keck Graduate,Claremont,CA,20000011
Keene State College,,Keene,NH,
Kennedy Krieger Institute,,Baltimore,MD,
Kennesaw State University,,Kennesaw,GA,
Kent State University,Kent State University,Kent,OH,95090
Kentucky State University,,Frankfort,KY,
Kenyon College,,Gambier,OH,
Kessler Institute for Rehabilitation,,W Orange,NJ,
Kettering University,,Flint,MI,
Keysight Technologies,,Santa Rosa,CA,
Kimberly-Clark,,Jackson,SC,
Kraft Heinz,,Glenview,IL,
Kroger Company,,Cincinnati,OH,
Kutztown University - Pennsylvania,,Kutztown,PA,
Kyorin Pharmaceutical Co Ltd,,La Jolla,CA,
L'Oreal Group,,Clark,NJ,
L-MARC Research Center,,Louisville,KY,
LSI Corporation,,Allentown,PA,
La Jolla Bioengineering Institute,,La Jolla,CA,
La Jolla Institute for Immunology,,San Diego,CA,
La Jolla Pharmaceutical Company,,San Diego,CA,
Lafayette College,,Easton,PA,
Lahey Hospital & Medical Center,,Burlington,MA,
Lake Erie College,,Painesville,OH,
Lakeland Community College,,Kirtland,OH,
Lamar University,,Beaumont,TX,
Langston University,,Langston,OK,
Lankenau Institute for Medical Research,,Wynnewood,PA,
Lankenau Medical Center,,Wynnewood,PA,
"Laureate Institute for Brain Research, Inc.",,Tulsa,OK,
Lawrence Berkeley National Laboratory,,Berkeley,CA,
Lawrence Livermore National Laboratory,Lawrence Livermore,Livermore,CA,20140304
Lawrence University,,Appleton,WI,
LeBauer-Brodie Center for Cardiovascular Research & Education,,Greensboro,NC,
Legacy Health,Legacy Health System,Portland,OR,20000014
Legend Holdings,,Ft Worth,TX,
Lehigh University,Lehigh University,Bethlehem,PA,95091
Lehigh Valley Health Network,,Allentown,PA,
Lehigh Valley Hospital,,Allentown,PA,
Lehman College (CUNY),CUNY,Bronx,NY,95077
Lenovo,,Ft Worth,TX,
Lenox Hill Heart & Vascular Institute of New York,,New York,NY,
Leonardo,,Dallas,TX,
Lewis University,,Chicago,IL,
Lewisville Aquatic Ecosystem Research Facility (LAERF),,Lewisville,TX,
Lexicon Pharmaceuticals,,The Woodlands,TX,
Lexington VA Medical Center,,Lexington,KY,
Li Ka Shing Center,,Berkeley,CA,
Liberty Mutual Research Institute for Safety,,Hopkinton,MA,
Liberty University,,Lynchburg,VA,
Lifespan Health Rhode Island,,Providence,RI,
Ligand Pharmaceuticals,,San Diego,CA,
Lincoln Laboratory,,Lexington,MA,
Lincoln University - Pennsylvania,,Lincoln Univ,PA,
Linfield College,,Portland,OR,
Lock Haven University,,Lock Haven,PA,
Lockheed Martin,,Houston,TX,
Loma Linda University,,Loma Linda,CA,
Long Beach Medical Center,,Long Beach,NY,
Long Island College Hospital,,Brooklyn,NY,
Long Island University-Brooklyn Campus,,Brooklyn,NY,
Lorain County Community College,,Elyria,OH,
Los Alamos National Laboratory,,Los Alamos,NM,
Los Angeles County Department of Public Health,,Los Angeles,CA,
Los Angeles County+USC Medical Center,,Los Angeles,CA,
Louis Stokes Cleveland Veterans Affairs Medical Center,,Cleveland,OH,
Louisiana State University,Louisiana State University,Baton Rouge,LA,95093
Louisiana State University Health Sciences Center New Orleans,Louisiana State University Health Sciences,New Orleans,LA,96015
Louisiana State University Health Sciences Center at Shreveport,Louisiana State University Health Sciences,Shreveport,LA,96015
Louisiana State University Shreveport,Louisiana State University,Shreveport,LA,95093
Louisiana State University System,Louisiana State University,Baton Rouge,LA,95093
Louisiana State University at Alexandria,Louisiana State University,Alexandria,LA,95093
Louisiana State University at Eunice,Louisiana State University,Eunice,LA,95093
Louisiana Technical University,Louisiana Tech,Ruston,LA,20080266
Lourdes University,,Sylvania,OH,
Lovelace Respiratory Research Institute,,Albuquerque,NM,
Lowe's Companies,,N WILKESBORO,NC,
Loyola Marymount University,,Los Angeles,CA,
Loyola University Chicago,Loyola University,Maywood,IL,96017
Lucent Technologies,,Murray Hill,NJ,
Lucile Packard Children's Hospital (LPCH),,Stanford,CA,
Lundquist Institute,,Torrance,CA,
MDHHS - Michigan Department of Health & Human Services,,Lansing,MI,
MITRE Corporation,,Mclean,VA,
Macalester College,,St Paul,MN,
Macon State College,,Macon,GA,
Madigan Army Medical Center,,Seattle,WA,
Magee-Womens Research Institute,,Pittsburgh,PA,
Maimonides Medical Center,,Brooklyn,NY,
Maine Medical Center,,Portland,ME,
Malone University,,Canton,OH,
Manhattan College,,Bronx,NY,
Manhattan Eye Ear & Throat Hospital,,New York,NY,
Mansfield University - Pennsylvania,,Mansfield,PA,
Maricopa County General Hospital,,Phoenix,AZ,
Marietta College,,Marietta,OH,
Marine Biological Laboratory - Woods Hole,Woods Hole Oceanographic Institution,Woods Hole,MA,95280
Marion Technical College,,Marion,OH,
Marquette University,Marquette University,Milwaukee,WI,95094
Mars,,Beltsville,MD,
Marshall University,Marshall University,Huntington,WV,95095
Marshfield Clinic,,Marshfield,WI,
Marvell Technology Group,,Santa Clara,CA,
Mary Crowley Cancer Research,,Dallas,TX,
Maryland Department of Health & Mental Hygiene,,Baltimore,MD,
Masonic Medical Research Laboratory,,Utica,NY,
Massachusetts College Art & Design,,Boston,MA,
Massachusetts College Liberal Arts,,N Adams,MA,
Massachusetts Department of Public Health,,Boston,MA,
Massachusetts Eye & Ear Infirmary,,Boston,MA,
Massachusetts General Hospital,Massachusetts General Hospital,Boston,MA,95096
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,Cambridge,MA,95097
Massachusetts Maritime Academy,,Buzzards Bay,MA,
Massachusetts System of Public Higher Education,,N Adams,MA,
Mathematica,,Princeton,NJ,
Mattel,,El Segundo,CA,
Mayo Clinic,Mayo Foundation,Jacksonville,FL,95098
Mays Business School,,College Stn,TX,
McKesson Corporation,,Broomfield,CO,
"McLaughlin Research Institute for Biomedical Sciences, Inc.",,Great Falls,MT,
McLean Hospital,,Belmont,MA,
McNeese State University,,Lake Charles,LA,
MedStar Health Research Institute,,Washington,DC,
MedStar Washington Hospital Center,,Washington,DC,
Medgar Evers College,,Brooklyn,NY,
Medical City Dallas Hospital,,Dallas,TX,
Medical College of Wisconsin,Medical College of Wisconsin,Milwaukee,WI,99010
Medical University of South Carolina,Medical University of South Carolina,Charleston,SC,95103
Medimmune,,Gaithersburg,MD,
Medtronic,,Minneapolis,MN,
Meharry Medical College,,Nashville,TN,
Memorial Sloan Kettering Cancer Center,Sloan Kettering,New York,NY,95160
Memphis VA Medical Center,,Memphis,TN,
Mentor Graphics Inc,,Wilsonville,OR,
Mercer University,,Atlanta,GA,
Merck & Company,,Seattle,WA,
Mercy College of Ohio,,Toledo,OH,
Mercy Medical Center - Maryland,,Baltimore,MD,
Merrimack College,,N Andover,MA,
Metabolon,,Durham,NC,
Methodist DeBakey Heart & Vascular Center,,Houston,TX,
Methodist Theological School in Ohio,,Delaware,OH,
MetroHealth System,,Cleveland,OH,
Metroplex Clinical Research Center,,Dallas,TX,
Metropolitan Hospital Center,,New York,NY,
Metropolitan Museum of Art,,New York,NY,
Metropolitan State University,,St Paul,MN,
Metropolitan State University of Denver,,Denver,CO,
Metso,,Northborough,MA,
Miami University,Miami University,Oxford,OH,95105
Miami Valley Hospital,,Dayton,OH,
Michael E DeBakey VA Medical Center,,Houston,TX,
Michael Reese Hospital & Medical Center,,Chicago,IL,
Michigan State University,Michigan State University,E Lansing,MI,95107
Michigan State University AgBioResearch,Michigan State University,Chatham,MI,95107
Michigan State University College Law,Michigan State University,E Lansing,MI,95107
Michigan State University College of Human Medicine,Michigan State University,Marquette,MI,95107
Michigan State University College of Osteopathic Medicine,Michigan State University,Ann Arbor,MI,95107
Michigan State University Hospital,Michigan State University,Grand Rapids,MI,95107
Michigan Technological University,Michigan Tech,Houghton,MI,95108
Micron Technology,,Albany,NY,
Microsoft,,San Francisco,CA,
Mid-America Hospital (Kansas),,Overland Pk,KS,
Middle Georgia State College,,Cochran,GA,
Middle Tennessee State University,,Murfreesboro,TN,
Midwestern University,,Glendale,AZ,
Midwestern University - Arizona College of Optometry,,Glendale,AZ,
Midwestern University - Chicago College of Osteopathic Medicine,,Downers Grove,IL,
Midwestern University - Chicago College of Pharmacy,,Downers Grove,IL,
Midwestern University - College of Dental Medicine - Arizona,,Glendale,AZ,
Midwestern University - College of Dental Medicine - Illinois,,Downers Grove,IL,
Midwestern University - College of Health Sciences - Illinois,,Downers Grove,IL,
Midwestern University - College of Pharmacy - Glendale,,Glendale,AZ,
Millennium Pharmaceuticals,,Cambridge,MA,
Millersville University of Pennsylvania,,Millersville,PA,
Millsaps College,,Jackson,MS,
Milwaukee School Engineering,,Milwaukee,WI,
Minneapolis Heart Institute Foundation,,Minneapolis,MN,
Minneapolis Medical Research Foundation,,Minneapolis,MN,
Minneapolis VA Health Care System,,Minneapolis,MN,
Minnesota Department of Health (MHD),,St Paul,MN,
Minnesota State University Mankato,,Mankato,MN,
Minnesota State University Moorhead,,Moorhead,MN,
Miriam Hospital,,Providence,RI,
Mississippi State University,Mississippi State University,Mississippi State,MS,95109
Missouri Botanical Gardens,,St Louis,MO,
Missouri State University,,Springfield,MO,
Missouri University of Science & Technology,,Rolla,MO,
Mitchell Community College,,Statesville,NC,
Mitchell Hamline School of Law,,St Paul,MN,
Mitsubishi International Corporation (MIC),,NEW YORK,NY,
Monell Chemical Senses Center,,Philadelphia,PA,
Monmouth College,,Monmouth,IL,
Monmouth University,,W Long Branch,NJ,
Monsanto,,St Louis,MO,
Montana State University,Montana State University,Bozeman,MT,95110
Montana State University Billings,Montana State University,Billings,MT,95110
Montana State University Bozeman,Montana State University,Bozeman,MT,95110
Montana State University System,Montana State University,Bozeman,MT,95110
Montana Technological University,,Butte,MT,
Montclair State University,,Montclair,NJ,
Montefiore Medical Center,,Bronx,NY,
Monterey Bay Aquarium Research Institute,Monterey Bay Aquarium,Moss Landing,CA,98012
Morehead State University,,Morehead,KY,
Morehouse College,,Atlanta,GA,
Morehouse School of Medicine,,Atlanta,GA,
Morgan Stanley Children's Hospital,,New York,NY,
Morgan State University,Morgan State University,Baltimore,MD,20160319
Morrisville State College,,Morrisville,NY,
Moses Cone Memorial Hospital,,Greensboro,NC,
Moss Landing Marine Laboratories,,Moss Landing,CA,
Mote Marine Laboratory & Aquarium,,Sarasota,FL,
Mount Auburn Hospital,,Cambridge,MA,
Mount Carmel College of Nursing,,Columbus,OH,
Mount Desert Island Biological Laboratory,,Salsbury Cove,ME,
Mount Holyoke College,,S Hadley,MA,
Mount Sinai Medical Center,,Miami Beach,FL,
Mount Sinai St. Luke's,Mount Sinai,New York,NY,95050
Mount Sinai West,Mount Sinai,New York,NY,95050
Mount St. Joseph University,,Cincinnati,OH,
Mount Vernon Nazarene University,,Mt Vernon,OH,
Multi-State Division,,Burleson,TX,
Murray State University,,Murray,KY,
Muskingum University,,New Concord,OH,
NASA Ames Research Center,,Moffett Field,CA,
NASA Glenn Research Center,,Cleveland,OH,
NASA Goddard Space Flight Center,,Greenbelt,MD,
NASA JOHNSON SPACE CENTER,,Houston,TX,
NASA Jet Propulsion Laboratory (JPL),,Pasadena,CA,
NASA Langley Research Center,,Hampton,VA,
NASA Marshall Space Flight Center,,Huntsville,AL,
NIH Center for Information Technology (CIT),,Bethesda,MD,
NIH Center for Scientific Review (CSR),,Bethesda,MD,
NIH Clinical Center (CC),,Bethesda,MD,
NIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD),,Bethesda,MD,
NIH Fogarty International Center (FIC),,Bethesda,MD,
NIH National Cancer Institute (NCI),,Bethesda,MD,
NIH National Center for Advancing Translational Sciences (NCATS),,Bethesda,MD,
NIH National Center for Complementary & Alternative Medicine,,Bethesda,MD,
NIH National Eye Institute (NEI),,Bethesda,MD,
NIH National Heart Lung & Blood Institute (NHLBI),,Bethesda,MD,
NIH National Human Genome Research Institute (NHGRI),,Bethesda,MD,
NIH National Institute of Allergy & Infectious Diseases (NIAID),,Bethesda,MD,
NIH National Institute of Arthritis & Musculoskeletal & Skin Diseases (NIAMS),,Bethesda,MD,
NIH National Institute of Biomedical Imaging & Bioengineering (NIBIB),,Rockville,MD,
NIH National Institute of Dental & Craniofacial Research (NIDCR),,Bethesda,MD,
NIH National Institute of Diabetes & Digestive & Kidney Diseases (NIDDK),,Bethesda,MD,
NIH National Institute of Environmental Health Sciences (NIEHS),,Res Triangle Pk,NC,
NIH National Institute of General Medical Sciences (NIGMS),,Bethesda,MD,
NIH National Institute of Mental Health (NIMH),,Bethesda,MD,
NIH National Institute of Neurological Disorders & Stroke (NINDS),,Bethesda,MD,
NIH National Institute of Nursing Research (NINR),,Bethesda,MD,
NIH National Institute on Aging (NIA),,Baltimore,MD,
NIH National Institute on Alcohol Abuse & Alcoholism (NIAAA),,Bethesda,MD,
NIH National Institute on Deafness & Other Communication Disorders (NIDCD),,Bethesda,MD,
NIH National Institute on Drug Abuse (NIDA),,Baltimore,MD,
NIH National Institute on Minority Health & Health Disparities (NIMHD),,Jackson,MS,
NIH National Library of Medicine (NLM),,Bethesda,MD,
NSF - Center for Neurotechnology (CNT),,Seattle,WA,
NTT Docomo,,San Jose,CA,
NXP Semiconductors,,Tempe,AZ,
NYU Langone Medical Center,New York University,New York,NY,95121
Nathan Kline Institute for Psychiatric Research,,Orangeburg,NY,
"National Academies of Sciences, Engineering & Medicine",,Washington,DC,
National Aeronautics & Space Administration (NASA),,Cleveland,OH,
National Bureau of Economic Research,,Cambridge,MA,
National Center Atmospheric Research (NCAR) - USA,,Boulder,CO,
National Center for Ecological Analysis & Synthesis,,Santa Barbara,CA,
National Center for Genome Resources (NCGR),,Santa Fe,NM,
National Centers for Coastal Ocean Science (NOOCS),,Beaufort,NC,
National Data Bank for Rheumatic Diseases,,Wichita,KS,
National Defense University - USA,,Washington,DC,
National Energy Technology Laboratory - USA,,Albany,OR,
"National Geodetic Survey, NOAA",,Silver Spring,MD,
National Geographic Society,,Washington,DC,
National Institute for Aerospace,,Hampton,VA,
National Institute for Occupational Safety & Health (NIOSH),,Morgantown,WV,
National Institute of Standards & Technology (NIST) - USA,,Gaithersburg,MD,
National Institutes of Health (NIH) - USA,,Bethesda,MD,
National Jewish Health,National Jewish Health,Denver,CO,95113
National Louis University,,Evanston,IL,
National Marrow Donor Program,,Minneapolis,MN,
National Oceanic Atmospheric Admin (NOAA) - USA,,Silver Spring,MD,
National Optical Astronomy Observatory,,Tucson,AZ,
National Radio Astronomy Observatory (NRAO),National Radio Astronomy,Tucson,AZ,20140297
National Renewable Energy Laboratory - USA,,Golden,CO,
National Science Foundation (NSF),,Arlington,VA,
National Security Technologies,,Las Vegas,NV,
National Surgical Adjuvant Breast & Bowel Project,,Pittsburgh,PA,
Nature Conservancy,,Arlington,VA,
Naval Air Weapons Station China Lake (NAWS),,China Lake,CA,
Naval Health Research Center (NHRC),,San Diego,CA,
Naval Information Warfare Center Pacific,,San Diego,CA,
Naval Medical Center San Diego,,San Diego,CA,
Naval Medical Research Center (NMRC),,Silver Spring,MD,
Naval Medical Research Unit Dayton - NAMRU-D,,Wright Patterson AFB,OH,
Naval Medical Research Unit San Antonio (NAMRU-SA),,San Antonio,TX,
Naval Postgraduate School,,Monterey,CA,
Naval Research Laboratory,,Washington,DC,
Nebraska State College System,,Wayne,NE,
Nektar Therapeutics,,San Carlos,CA,
Nemours Alfred I. duPont Hospital for Children,,Wilmington,DE,
Neurocrine Biosciences,,San Diego,CA,
Neuropsychiatric Research Institute,,Fargo,ND,
Nevada State College,,Henderson,NV,
Nevada System of Higher Education (NSHE),,Reno,NV,
New Brunswick Laboratory,,Argonne,IL,
New College Florida,,Sarasota,FL,
New England Baptist Hospital,,Boston,MA,
New Iberia Research Center,,New Iberia,LA,
New Jersey Department of Health & Senior Services,,E Orange,NJ,
New Jersey Institute of Technology,New Jersey Inst,Newark,NJ,95116
New Mexico Clinical Research & Osteoporosis Center,,Albuquerque,NM,
New Mexico Department of Game and Fish,,Santa Fe,NM,
New Mexico Department of Health,,Las Cruces,NM,
New Mexico Institute of Mining Technology,,Socorro,NM,
New Mexico State University,New Mexico State University,Las Cruces,NM,95118
New York Academy of Medicine,,New York,NY,
New York Blood Center,New York Blood Center,New York,NY,95119
New York Botanical Garden,,Bronx,NY,
New York City College of Technology,,Brooklyn,NY,
New York City Department of Health & Mental Hygiene,,New York,NY,
New York Eye & Ear Infirmary of Mount Sinai,Mount Sinai,New York,NY,95050
New York Medical College,New York Medical College,Valhalla,NY,95120
New York State Psychiatry Institute,,New York,NY,
New York University,New York University,New York,NY,95121
New York University Tandon School of Engineering,New York University,Brooklyn,NY,95121
NewYork-Presbyterian Brooklyn Methodist Hospital,,Brooklyn,NY,
NewYork-Presbyterian Hospital,,New York,NY,
Newark Beth Israel Medical Center,,Newark,NJ,
Newton Wellesley Hospital,,Newton,MA,
Nicholls State University,,Thibodaux,LA,
Nichols Institute,,San Juan Capistrano,CA,
Nike Inc,,Beaverton,OR,
Nikon Corporation,,Tucson,AZ,
Nitto Denko Corporation,,Oceanside,CA,
Noble Research Institute,,Ardmore,OK,
Nokia Bell Labs,,San Diego,CA,
Nokia Corporation,,San Diego,CA,
Norris Cotton Cancer Center,,Los Angeles,CA,
North Carolina A&T State University,North Carolina A&T,Greensboro,NC,20000015
North Carolina Central University,,Durham,NC,
North Carolina State University,North Carolina State University,Raleigh,NC,95123
North Central State College,,Mansfield,OH,
North Dakota State University Fargo,North Dakota State University,Fargo,ND,95124
North Georgia College & State University,,Dahlonega,GA,
North Shore University Hospital,,Manhasset,NY,
NorthShore University Health System,,Evanston,IL,
NorthWest Research Associates,,Boulder,CO,
Northeast Ohio Medical University (NEOMED),,Rootstown,OH,
Northeastern University,Northeastern University,Boston,MA,95125
Northern Arizona University,Northern Arizona University,Flagstaff,AZ,20100273
Northern California Institute for Research & Education,,San Francisco,CA,
Northern Illinois University,Northern Illinois University,De Kalb,IL,95126
Northern Kentucky University,,Highland Hts,KY,
Northern Michigan University,,Marquette,MI,
Northern State University,,Aberdeen,SD,
Northern Vermont University,,Lyndonville,VT,
Northrop Grumman Corporation,,Linthicum,MD,
Northwell Health,,New Hyde Pk,NY,
Northwest State Community College,,Archbold,OH,
Northwestern Memorial Hospital,,Chicago,IL,
Northwestern State University of Louisiana,,Natchitoches,LA,
Northwestern University,Northwestern University,Chicago,IL,95127
Notre Dame College,,Cleveland,OH,
Nova Southeastern University,,Ft Lauderdale,FL,
Novartis,,Ft Worth,TX,
OSI Pharmaceuticals,,Boulder,CO,
Oak Ridge Institute for Science & Education,,Oak Ridge,TN,
Oak Ridge National Laboratory,,Oak Ridge,TN,
Oakland University,,Rochester,MI,
Oberlin College,,Oberlin,OH,
Occidental College,,Los Angeles,CA,
Ochsner Health System,,New Orleans,LA,
Ohio Christian University,,Circleville,OH,
Ohio Department of Natural Resources,,Hebron,OH,
Ohio Dominican University,,Columbus,OH,
Ohio Northern University,,Ada,OH,
Ohio State University,Ohio State University,Marion,OH,95128
Ohio University,Ohio University,Athens,OH,95129
Ohio Wesleyan University,,Delaware,OH,
Oklahoma Medical Research Foundation,Oklahoma Medical,Oklahoma City,OK,98013
Oklahoma State University - Oklahoma City,Oklahoma State University,Oklahoma City,OK,95131
Oklahoma State University - Stillwater,Oklahoma State University,Stillwater,OK,95131
Oklahoma State University - Tulsa,Oklahoma State University,Tulsa,OK,95131
Oklahoma State University Center for Health Sciences,Oklahoma State University,Tulsa,OK,95131
Oklahoma State University Institute of Technology,Oklahoma State University,Okmulgee,OK,95131
Oklahoma State University System,Oklahoma State University,Stillwater,OK,95131
Old Dominion University,Old Dominion University,Norfolk,VA,96020
Olmsted Medical Center,,Rochester,MN,
